id,name,water,image_id,image_url,thumb_url,easy_stekje,common_name,owned_since,brought_by,last_repotting
33,"Slowly, but shirley",5ml,20211016_164338_tlvhud,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211016_164338_tlvhud","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211016_164338_tlvhud",FALSE,Gasteria,2021-06-01,Diane,
34,Problem fern,75ml,IMG_20211023_160501_e1zdgc,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160501_e1zdgc","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160501_e1zdgc",FALSE,Nephrolepis biserrata,2020-10-01,Lucia & Emil,
35,Benny,300ml,IMG_20211023_160407_cly7my,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160407_cly7my","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160407_cly7my",FALSE,Dwarf cavendish,2020-06-01,Koen & Fadime,2022
36,Sticky pricky,250ml,IMG_20211023_160523_dojvzx,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160523_dojvzx","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160523_dojvzx",FALSE,Asparagus sprengeri,2013-09-01,Diane & Bert,
37,Leafy <3,200ml,20211112_142859_xs2gel,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211112_142859_xs2gel","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211112_142859_xs2gel",FALSE,Calathea orbifolia,2021-05-01,Emilia,
38,Not a lost cause,bottom water,20211016_165213_vqsmvs,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211016_165213_vqsmvs","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211016_165213_vqsmvs",FALSE,Echinocereus,2018-02-01,Antonio,
39,Splashy,in perlite,20211112_144011_w1phbr,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211112_144011_w1phbr","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211112_144011_w1phbr",TRUE,Hoya carnosa,2021-11-07,Gabriele,
40,Phil,in water,20211112_143827_xphlx4,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211112_143827_xphlx4","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211112_143827_xphlx4",TRUE,Pilea Cadirei,2021-10-01,Stekje,
41,Peter Parker,150ml,IMG_20211023_160333_oa0c9u,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160333_oa0c9u","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160333_oa0c9u",FALSE,Davallia fejeensis,2020-05-01,Jasper,
42,Monstera,250ml,IMG_20211023_160250_ob2ovw,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160250_ob2ovw","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160250_ob2ovw",TRUE,Monsteria Deliciosa,2018-11-01,Lucia,2022
43,Not dead yet,bottom water,20211112_142239_pey49i,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211112_142239_pey49i","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211112_142239_pey49i",FALSE,Hylocereus,2021-03-01,Diane,
44,Violet,bottom water,20211016_163921_dyytzr,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211016_163921_dyytzr","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211016_163921_dyytzr",FALSE,African violet,2021-06-01,Diane,2022
45,No strings attached,10ml,IMG_20211023_170655_zipn8t,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_170655_zipn8t","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_170655_zipn8t",TRUE,Ceropegia,2021-07-01,Stekje,
46,Spider-mama,375ml,IMG_20211023_171826_j9050e,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_171826_j9050e","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_171826_j9050e",TRUE,Chlorophytum comosum,2020-02-01,Oma,
47,Tree,700ml,IMG_20211023_160318_lsoqg1,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160318_lsoqg1","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160318_lsoqg1",FALSE,Ficus benjamina,2013-09-01,Diane & Bert,2021
48,Spider plant office,200ml,IMG_20211023_160053_jnkh49,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160053_jnkh49","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160053_jnkh49",TRUE,Chlorophytum comosum,2020-10-01,Stekje,
49,My nerves,bottom water,20211016_163255_mhqucf,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211016_163255_mhqucf","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211016_163255_mhqucf",TRUE,Fittonia,2020-06-01,Diane,
50,Smol green,5ml,20211112_143305_intdmr,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211112_143305_intdmr","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211112_143305_intdmr",TRUE,Tradescantia,2021-09-30,Emilia,
51,Newbean,10ml,IMG_20211023_170617_s8ppcy,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_170617_s8ppcy","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_170617_s8ppcy",FALSE,Senecio archeri,2021-05-01,Stekje,
52,Gisele,325ml,IMG_20211023_160150_nlgtdr,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160150_nlgtdr","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160150_nlgtdr",TRUE,Philodendron brasilia,2019-11-01,Emil,
53,Sketchy junior,200ml,IMG_20211023_155951_q6wkqg,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_155951_q6wkqg","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_155951_q6wkqg",FALSE,Calathea network,2020-02-01,Emil,
54,Patrick starplant,bottom water,20211016_161011_avwwfg,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211016_161011_avwwfg","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211016_161011_avwwfg",FALSE,Cryptanthus,2021-04-01,Lucia & Emil,
55,Sedum,in water,IMG_20211024_115346_caud8w,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211024_115346_caud8w","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211024_115346_caud8w",FALSE,Sedum variegatum,2021-06-01,Diane,
56,Bad orchid,10ml,IMG_20211023_160506_rlt3sz,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160506_rlt3sz","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160506_rlt3sz",FALSE,Phalaenopsis ,2020-02-01,Oma,
57,Pepper,325ml,IMG_20211023_160623_ketsyz,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160623_ketsyz","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160623_ketsyz",FALSE,Monstera peru,2019-07-01,Emil & Nick,
58,Big ass fern,500ml,IMG_20211023_155900_zact9y,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_155900_zact9y","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_155900_zact9y",FALSE,Phlebodium,2020-01-01,Emil,
59,Lorge pancake,175ml,IMG_20211023_160340_innxij,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160340_innxij","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160340_innxij",TRUE,Pilea peperomioides,2019-11-01,Koen,
60,Great child,10ml,IMG_20211023_170608_ecb0xd,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_170608_ecb0xd","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_170608_ecb0xd",TRUE,Rhipsalis,2021-02-01,Stekje,
61,Easy zz,5ml,20211016_165619_naqr74,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211016_165619_naqr74","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211016_165619_naqr74",FALSE,Zamioculcas,2021-05-01,Celia,2021
62,Good orchid,10ml,IMG_20211023_160516_tn9p15,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160516_tn9p15","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160516_tn9p15",FALSE,Phalaenopsis ,2020-02-01,Oma,
63,Stolen from Italy,25ml,IMG_20211023_170640_wwlz00,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_170640_wwlz00","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_170640_wwlz00",TRUE,Tradescantia,2021-07-01,Lucia,
64,Chubby,bottom water,20211016_165451_xgszt9,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211016_165451_xgszt9","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211016_165451_xgszt9",FALSE,pachyphythum,2020-12-01,Lucia,
65,Boston fern,300ml,IMG_20211023_160219_v0sega,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160219_v0sega","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160219_v0sega",FALSE,Boston fern,2016-06-01,Emil,
66,Monkey monstera,100ml,IMG_20211023_160602_vs3y4c,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160602_vs3y4c","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160602_vs3y4c",TRUE,Monstera monkey mask,2020-10-01,Emil & Lucia,
67,Johnny on the floor,200ml,20211016_180135_nvusyi,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211016_180135_nvusyi","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211016_180135_nvusyi",TRUE,Rubber ficus,2020-01-01,Lucia,
68,Mother of Thousands,25ml,IMG_20211023_160529_n2ivqu,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160529_n2ivqu","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160529_n2ivqu",TRUE,Kalanchoe daigremontiana,2021-02-01,Joris,
69,String of hearts,50ml,IMG_20211023_160037_p79gbf,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160037_p79gbf","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160037_p79gbf",TRUE,Ceropegia,2018-11-01,Lucia,2022
70,Droopy,100ml,IMG_20211023_160537_yfyy1d,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160537_yfyy1d","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160537_yfyy1d",TRUE,Scindapsus pictus,2019-09-01,Lucia,
71,Curly fern,150ml,IMG_20211023_160616_ytoyrd,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/IMG_20211023_160616_ytoyrd","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/IMG_20211023_160616_ytoyrd",FALSE,Phlebodium davana,2020-06-01,Lucia & Emil,
72,Jade,10ml,20211016_170712_trgon3,"https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_1200/v1635000325/plants/20211016_170712_trgon3","https://res.cloudinary.com/diokh2gxa/image/upload/c_scale,w_400/v1635000325/plants/20211016_170712_trgon3",FALSE,Portulacaria afra,2021-05-01,Paul,2021
